unix,open,high,low,close,vwap,volume,tradecount,date,volume_from,Name,vwap_
1638791820,43107.4,43134.4,43017.6,43106.4,43062.0,3.61456826,52,2021-12-06 11:57:00,155811.025242864,BTCEUR,42379.58
1638791880,43104.9,43116.8,43073.2,43107.3,43079.4,4.04307293,45,2021-12-06 11:58:00,174285.95771538903,BTCEUR,42381.75
1638791940,43084.4,43150.0,43084.4,43092.3,43135.6,0.41526261,27,2021-12-06 11:59:00,17894.620968903,BTCEUR,42381.96
1638792000,43092.3,43105.1,42991.3,43055.8,43026.1,2.56480352,75,2021-12-06 12:00:00,110429.667396416,BTCEUR,42383.23
1638792060,43055.8,43058.5,43015.2,43033.8,43048.5,6.30195712,38,2021-12-06 12:01:00,271197.16231065604,BTCEUR,42386.23
1638792120,43039.9,43050.0,43026.1,43050.0,43033.0,0.29927917,34,2021-12-06 12:02:00,12883.968268499999,BTCEUR,42386.37
1638792180,43050.0,43088.5,43049.9,43072.2,43064.3,0.88186613,32,2021-12-06 12:03:00,37983.914324585996,BTCEUR,42386.81
1638792240,43091.6,43091.6,43050.0,43050.0,43058.4,0.42009167,48,2021-12-06 12:04:00,18084.9463935,BTCEUR,42387.02
1638792300,43050.0,43097.3,43050.0,43078.6,43071.6,0.50676304,28,2021-12-06 12:05:00,21830.642294944002,BTCEUR,42387.27
1638792360,43086.6,43112.1,43043.9,43044.0,43061.4,1.31502592,48,2021-12-06 12:06:00,56603.975700480005,BTCEUR,42387.9
1638792420,43044.0,43062.0,43043.9,43059.1,43046.5,1.38853095,27,2021-12-06 12:07:00,59788.893029145,BTCEUR,42388.58
1638792480,43067.1,43067.1,43043.9,43044.0,43045.3,0.72504245,34,2021-12-06 12:08:00,31208.7272178,BTCEUR,42388.93
1638792540,43063.5,43077.9,43044.0,43077.8,43070.9,0.28072630,19,2021-12-06 12:09:00,12093.07140614,BTCEUR,42389.07
1638792600,43077.8,43089.0,43050.0,43088.8,43056.3,0.28867303,25,2021-12-06 12:10:00,12438.574455064001,BTCEUR,42389.21
1638792660,43088.7,43089.0,43063.5,43063.5,43072.2,0.33937972,23,2021-12-06 12:11:00,14614.87857222,BTCEUR,42389.38
1638792720,43063.6,43063.6,43056.4,43056.4,43059.5,1.22706718,36,2021-12-06 12:12:00,52833.095328952,BTCEUR,42389.98
1638792780,43056.5,43063.3,43050.0,43050.0,43051.0,9.71812490,70,2021-12-06 12:13:00,418365.276945,BTCEUR,42394.6
1638792840,43050.0,43050.0,42960.1,42960.1,43024.9,6.07777947,81,2021-12-06 12:14:00,261102.013809147,BTCEUR,42397.07
1638792900,42960.1,42967.9,42890.8,42890.8,42923.8,0.78736175,48,2021-12-06 12:15:00,33770.575346900005,BTCEUR,42397.35
1638792960,42858.0,42903.7,42850.0,42870.4,42868.2,0.59605527,23,2021-12-06 12:16:00,25553.127847008003,BTCEUR,42397.55
1638793020,42870.4,42934.3,42865.3,42934.3,42895.2,1.21265192,31,2021-12-06 12:17:00,52064.36132885601,BTCEUR,42398.01
1638793080,42928.2,42978.8,42927.8,42978.8,42932.2,0.71732973,24,2021-12-06 12:18:00,30829.970999724002,BTCEUR,42398.31
1638793140,42987.8,42987.8,42903.8,42987.7,42952.5,1.18948137,22,2021-12-06 12:19:00,51133.06828914899,BTCEUR,42398.81
1638793200,42988.9,42989.0,42957.0,42966.4,42977.6,0.26513228,19,2021-12-06 12:20:00,11391.779595392,BTCEUR,42398.92
1638793260,42978.6,43040.7,42970.3,43007.3,42991.2,0.88864551,37,2021-12-06 12:21:00,38218.24404222301,BTCEUR,42399.31
1638793320,43007.3,43014.4,42939.7,42987.5,42986.4,1.83210828,41,2021-12-06 12:22:00,78757.75468649999,BTCEUR,42400.08
1638793380,42982.0,43009.4,42956.8,43001.2,42963.3,1.14020061,29,2021-12-06 12:23:00,49029.994470731996,BTCEUR,42400.56
1638793440,43013.2,43025.2,42996.9,42996.9,43007.1,0.85137701,64,2021-12-06 12:24:00,36606.572161269,BTCEUR,42400.93
1638793500,42993.4,42993.4,42956.8,42975.0,42972.0,0.85255755,29,2021-12-06 12:25:00,36638.66071125,BTCEUR,42401.27
1638793560,42975.0,43011.0,42961.4,42975.0,42980.9,0.96026519,35,2021-12-06 12:26:00,41267.396540249996,BTCEUR,42401.67
1638793620,42975.3,43064.0,42975.3,43064.0,43040.0,2.44609878,66,2021-12-06 12:27:00,105338.79786191999,BTCEUR,42402.82
1638793680,43063.9,43079.0,43063.9,43079.0,43064.0,2.05608703,60,2021-12-06 12:28:00,88574.17316537,BTCEUR,42403.81
1638793740,43079.0,43099.5,43063.9,43085.1,43087.6,0.54969314,25,2021-12-06 12:29:00,23683.583906214,BTCEUR,42404.07
1638793800,43072.0,43197.2,43071.9,43172.9,43123.3,1.27453735,48,2021-12-06 12:30:00,55025.473557815,BTCEUR,42404.77
1638793860,43173.0,43173.0,43069.9,43076.4,43119.1,1.74350583,74,2021-12-06 12:31:00,75103.954535412,BTCEUR,42405.6
1638793920,43070.5,43120.5,43060.0,43060.9,43070.8,1.19697128,65,2021-12-06 12:32:00,51542.66059095201,BTCEUR,42406.16
1638793980,43060.1,43107.9,43060.0,43091.1,43072.9,0.29715671,23,2021-12-06 12:33:00,12804.809506280999,BTCEUR,42406.3
1638794040,43108.1,43200.0,43108.1,43200.0,43184.3,1.09289155,73,2021-12-06 12:34:00,47212.91496,BTCEUR,42406.92
1638794100,43200.0,43200.0,43153.1,43195.9,43196.1,1.17331763,40,2021-12-06 12:35:00,50682.511013717,BTCEUR,42407.57
1638794160,43199.8,43200.0,43190.0,43190.0,43190.6,1.22127239,18,2021-12-06 12:36:00,52746.7545241,BTCEUR,42408.25
1638794220,43188.9,43200.0,43188.8,43190.1,43195.9,0.58650460,26,2021-12-06 12:37:00,25331.19232446,BTCEUR,42408.57
