unix,open,high,low,close,vwap,volume,tradecount,date,volume_from,Name
1639068060,3748.76,3751.26,3748.76,3749.62,3750.11,3.51910659,9,2021-12-09 16:41:00,13195.312451995798,ETHEUR
1639068120,3749.62,3749.62,3748.17,3748.18,3748.79,2.04273285,9,2021-12-09 16:42:00,7656.530413713001,ETHEUR
1639068180,3748.18,3748.18,3745.00,3745.00,3747.07,2.40314214,8,2021-12-09 16:43:00,8999.7673143,ETHEUR
1639068240,3745.00,3746.21,3745.00,3746.21,3745.16,5.06754805,9,2021-12-09 16:44:00,18984.0991803905,ETHEUR
1639068300,3746.21,3746.21,3736.99,3738.28,3740.63,9.85379376,15,2021-12-09 16:45:00,36836.2401371328,ETHEUR
1639068360,3740.80,3743.34,3740.18,3743.34,3741.27,0.92704526,8,2021-12-09 16:46:00,3470.2456035684,ETHEUR
1639068420,3743.21,3746.22,3742.16,3746.07,3744.01,0.77820121,5,2021-12-09 16:47:00,2915.1962067447002,ETHEUR
1639068480,3746.06,3746.06,3746.06,3746.06,3746.06,1.08747592,5,2021-12-09 16:48:00,4073.7500448752,ETHEUR
1639068540,3746.07,3746.07,3746.06,3746.06,3746.06,3.33017337,8,2021-12-09 16:49:00,12475.0292544222,ETHEUR
1639068600,3745.46,3748.96,3745.46,3748.96,3745.87,31.48817538,13,2021-12-09 16:50:00,118047.9099726048,ETHEUR
1639068660,3745.86,3746.00,3744.25,3744.25,3744.42,5.61032093,8,2021-12-09 16:51:00,21006.4441421525,ETHEUR
1639068720,3744.03,3747.45,3744.03,3747.45,3746.98,1.88132652,7,2021-12-09 16:52:00,7050.177067373999,ETHEUR
1639068780,3747.12,3747.12,3745.21,3745.21,3746.34,3.02207531,10,2021-12-09 16:53:00,11318.3066717651,ETHEUR
1639068840,3745.21,3746.88,3745.20,3746.88,3746.05,0.64905570,9,2021-12-09 16:54:00,2431.933821216,ETHEUR
1639068900,3746.23,3747.26,3746.23,3747.26,3747.05,3.56427297,7,2021-12-09 16:55:00,13356.257529562201,ETHEUR
1639068960,3747.26,3747.26,3745.19,3745.20,3746.57,3.55907530,14,2021-12-09 16:56:00,13329.448813559999,ETHEUR
1639069020,3745.20,3745.20,3739.65,3740.89,3743.30,6.83528755,14,2021-12-09 16:57:00,25570.0588429195,ETHEUR
1639069080,3739.93,3741.33,3736.54,3738.04,3739.81,1.29178193,7,2021-12-09 16:58:00,4828.7325256172,ETHEUR
1639069140,3736.42,3738.71,3732.00,3732.01,3732.63,2.24640225,13,2021-12-09 16:59:00,8383.5956610225,ETHEUR
1639069200,3732.00,3736.19,3730.13,3736.19,3732.70,0.61256409,9,2021-12-09 17:00:00,2288.6558274171,ETHEUR
1639069260,3735.53,3737.32,3735.53,3737.32,3736.12,0.36166964,7,2021-12-09 17:01:00,1351.6751789648001,ETHEUR
1639069320,3738.24,3741.06,3737.80,3741.06,3738.67,12.24404296,11,2021-12-09 17:02:00,45805.6993559376,ETHEUR
1639069380,3742.01,3744.08,3734.73,3735.33,3741.83,11.92249955,24,2021-12-09 17:03:00,44534.470244101496,ETHEUR
1639069440,3735.84,3737.55,3735.84,3736.70,3736.13,1.00245512,6,2021-12-09 17:04:00,3745.874046904,ETHEUR
1639069500,3736.63,3736.71,3735.83,3735.84,3736.24,1.00997940,11,2021-12-09 17:05:00,3773.121441696,ETHEUR
1639069560,3735.83,3735.94,3733.27,3735.94,3733.53,9.47775768,13,2021-12-09 17:06:00,35408.3340270192,ETHEUR
1639069620,3737.21,3737.84,3736.30,3737.84,3736.94,2.35959157,7,2021-12-09 17:07:00,8819.7757540088,ETHEUR
1639069680,3738.14,3738.94,3737.93,3738.94,3738.23,1.97418669,6,2021-12-09 17:08:00,7381.3655827086,ETHEUR
1639069740,3738.30,3738.52,3738.30,3738.52,3738.35,0.37852443,2,2021-12-09 17:09:00,1415.1211520436,ETHEUR
1639069800,3738.16,3738.16,3737.69,3737.69,3737.82,0.38725946,6,2021-12-09 17:10:00,1447.4558110474,ETHEUR
1639069860,3737.69,3737.70,3737.69,3737.70,3737.69,0.32046881,4,2021-12-09 17:11:00,1197.8162711369998,ETHEUR
1639069920,3737.69,3741.87,3737.69,3741.87,3741.09,0.82695893,13,2021-12-09 17:12:00,3094.3728113990996,ETHEUR
1639069980,3741.86,3741.86,3740.58,3740.58,3740.91,0.36429565,4,2021-12-09 17:13:00,1362.677022477,ETHEUR
1639070040,3741.21,3744.05,3740.80,3743.21,3742.39,0.45650069,9,2021-12-09 17:14:00,1708.7779478149,ETHEUR
1639070100,3743.40,3744.09,3740.25,3740.25,3742.28,1.23865645,8,2021-12-09 17:15:00,4632.8847871125,ETHEUR
1639070160,3740.84,3745.57,3739.82,3745.57,3743.10,35.06016941,31,2021-12-09 17:16:00,131320.3187370137,ETHEUR
1639070220,3746.65,3748.46,3746.65,3748.31,3747.38,3.70873337,16,2021-12-09 17:17:00,13901.4823781047,ETHEUR
1639070280,3747.25,3747.25,3742.00,3742.00,3744.82,3.81890930,18,2021-12-09 17:18:00,14290.3586006,ETHEUR
1639070340,3741.86,3741.91,3740.00,3740.93,3741.63,4.82405751,11,2021-12-09 17:19:00,18046.4614608843,ETHEUR
1639070400,3741.04,3741.04,3740.00,3740.00,3740.79,0.72684385,6,2021-12-09 17:20:00,2718.395999,ETHEUR
1639070460,3740.55,3740.55,3740.53,3740.53,3740.53,5.05838792,4,2021-12-09 17:21:00,18921.051766397602,ETHEUR
1639070520,3740.00,3743.85,3740.00,3742.00,3740.82,0.44686502,6,2021-12-09 17:22:00,1672.16890484,ETHEUR
1639070580,3742.00,3742.94,3740.08,3742.55,3741.70,5.91309684,11,2021-12-09 17:23:00,22130.060578542,ETHEUR
1639070640,3742.51,3742.59,3742.51,3742.59,3742.52,1.04000000,3,2021-12-09 17:24:00,3892.2936000000004,ETHEUR
1639070700,3745.79,3748.01,3743.17,3743.17,3745.82,0.21870176,4,2021-12-09 17:25:00,818.6378669792,ETHEUR
1639070760,3740.81,3740.81,3740.39,3740.40,3740.78,0.62654424,3,2021-12-09 17:26:00,2343.526075296,ETHEUR
1639070820,3740.00,3740.01,3735.99,3735.99,3737.92,3.69272421,20,2021-12-09 17:27:00,13795.9807213179,ETHEUR
1639070880,3736.86,3736.86,3736.51,3736.51,3736.74,0.39944251,2,2021-12-09 17:28:00,1492.5209330401,ETHEUR
1639070940,3737.46,3738.23,3737.45,3738.04,3737.57,0.04474121,5,2021-12-09 17:29:00,167.24443262839998,ETHEUR
1639071000,3735.47,3735.47,3730.02,3730.02,3734.73,7.10999273,11,2021-12-09 17:30:00,26520.4150827546,ETHEUR
1639071060,3731.59,3731.59,3730.01,3730.01,3731.12,0.10833315,3,2021-12-09 17:31:00,404.0837328315,ETHEUR
1639071120,3730.00,3730.95,3730.00,3730.95,3730.07,0.95761064,4,2021-12-09 17:32:00,3572.7974173079997,ETHEUR
1639071180,3730.83,3731.96,3730.61,3731.96,3730.81,0.49453350,4,2021-12-09 17:33:00,1845.57924066,ETHEUR
1639071240,3732.47,3732.47,3730.67,3730.67,3731.52,1.41517592,7,2021-12-09 17:34:00,5279.5543494664,ETHEUR
1639071300,3732.20,3734.49,3732.20,3733.87,3733.38,1.48045067,6,2021-12-09 17:35:00,5527.810343192899,ETHEUR
1639071360,3733.87,3734.50,3733.30,3734.50,3734.19,0.81512283,9,2021-12-09 17:36:00,3044.076208635,ETHEUR
1639071420,3731.70,3731.70,3731.11,3731.11,3731.64,0.23426007,2,2021-12-09 17:37:00,874.0500897777,ETHEUR
1639071480,3730.51,3730.51,3725.36,3725.36,3727.68,11.61703382,22,2021-12-09 17:38:00,43277.6331116752,ETHEUR
1639071540,3725.10,3725.11,3721.46,3721.76,3724.22,14.38291476,16,2021-12-09 17:39:00,53529.75683717761,ETHEUR
1639071600,3721.77,3721.77,3721.76,3721.76,3721.76,0.78180109,2,2021-12-09 17:40:00,2909.6760247184,ETHEUR
1639071660,3721.77,3725.80,3721.77,3725.80,3721.79,21.88268848,22,2021-12-09 17:41:00,81530.520738784,ETHEUR
1639071720,3724.50,3725.21,3722.40,3722.40,3722.84,4.64402282,9,2021-12-09 17:42:00,17286.910545168,ETHEUR
1639071780,3721.76,3721.76,3717.70,3717.70,3719.15,3.65048812,15,2021-12-09 17:43:00,13571.419683724,ETHEUR
1639071840,3717.25,3717.92,3713.62,3714.17,3716.41,8.46581538,37,2021-12-09 17:44:00,31443.4775099346,ETHEUR
1639071900,3713.76,3714.18,3713.76,3714.18,3713.95,9.12977380,4,2021-12-09 17:45:00,33909.623252484,ETHEUR
1639071960,3714.18,3714.83,3713.39,3713.54,3713.90,3.56467325,13,2021-12-09 17:46:00,13237.556700804998,ETHEUR
1639072020,3713.87,3714.52,3713.01,3713.01,3713.71,0.52358011,6,2021-12-09 17:47:00,1944.0581842311003,ETHEUR
1639072080,3712.83,3712.83,3712.03,3712.25,3712.52,0.44509523,4,2021-12-09 17:48:00,1652.3047675675,ETHEUR
1639072140,3712.03,3713.14,3711.21,3712.11,3711.43,4.05172949,18,2021-12-09 17:49:00,15040.465557123898,ETHEUR
1639072200,3712.12,3712.64,3710.64,3711.70,3711.81,72.74241318,29,2021-12-09 17:50:00,269998.015000206,ETHEUR
1639072260,3710.38,3716.32,3710.38,3716.32,3715.93,1.93361437,7,2021-12-09 17:51:00,7185.9297555184,ETHEUR
1639072320,3716.32,3719.58,3715.02,3715.02,3716.03,18.00836439,9,2021-12-09 17:52:00,66901.4338761378,ETHEUR
1639072380,3715.78,3715.78,3713.38,3714.35,3714.22,13.17329946,14,2021-12-09 17:53:00,48930.244849251,ETHEUR
1639072440,3714.35,3714.36,3709.25,3709.25,3713.35,1.55910925,18,2021-12-09 17:54:00,5783.125985562499,ETHEUR
1639072500,3708.82,3708.82,3705.79,3705.79,3706.28,2.11915421,24,2021-12-09 17:55:00,7853.1404798759,ETHEUR
1639072560,3705.92,3705.92,3700.00,3700.00,3700.85,28.47930047,54,2021-12-09 17:56:00,105373.41173899999,ETHEUR
1639072620,3701.66,3701.86,3700.01,3700.01,3701.44,1.74083083,19,2021-12-09 17:57:00,6441.0914793083,ETHEUR
1639072680,3700.01,3700.01,3691.38,3691.38,3696.95,7.43905404,55,2021-12-09 17:58:00,27460.3753021752,ETHEUR
1639072740,3690.89,3693.01,3688.93,3688.93,3689.80,5.11552624,22,2021-12-09 17:59:00,18870.8182125232,ETHEUR
1639072800,3690.00,3697.73,3689.10,3696.90,3695.83,10.66313564,32,2021-12-09 18:00:00,39420.546147516005,ETHEUR
1639072860,3697.86,3700.01,3695.37,3697.37,3698.03,9.21930811,18,2021-12-09 18:01:00,34087.1932266707,ETHEUR
1639072920,3697.77,3699.53,3694.59,3699.49,3698.76,21.33472578,14,2021-12-09 18:02:00,78927.6046758522,ETHEUR
1639072980,3699.48,3700.41,3694.79,3694.85,3697.84,0.46709480,17,2021-12-09 18:03:00,1725.84522178,ETHEUR
1639073040,3693.24,3693.87,3682.37,3684.69,3688.47,20.09773842,70,2021-12-09 18:04:00,74053.93577878979,ETHEUR
1639073100,3686.42,3688.43,3681.40,3681.40,3686.26,0.75900224,13,2021-12-09 18:05:00,2794.190846336,ETHEUR
1639073160,3681.39,3686.85,3681.39,3684.54,3683.13,16.85394129,33,2021-12-09 18:06:00,62099.02084065661,ETHEUR
1639073220,3685.39,3689.12,3684.35,3688.46,3686.11,96.05714003,36,2021-12-09 18:07:00,354302.9187150538,ETHEUR
1639073280,3687.49,3689.80,3687.06,3689.80,3688.89,1.89056345,9,2021-12-09 18:08:00,6975.80101781,ETHEUR
1639073340,3689.94,3694.48,3688.17,3694.48,3688.33,55.85470535,41,2021-12-09 18:09:00,206354.091821468,ETHEUR
1639073400,3696.36,3696.36,3695.99,3695.99,3696.34,13.65744472,18,2021-12-09 18:10:00,50477.779110672804,ETHEUR
1639073460,3696.07,3696.07,3693.97,3693.97,3694.32,1.08894351,5,2021-12-09 18:11:00,4022.5246576347,ETHEUR
1639073520,3693.60,3693.60,3689.66,3689.67,3690.36,8.42536701,25,2021-12-09 18:12:00,31086.823895786703,ETHEUR
1639073580,3689.33,3689.33,3685.01,3685.01,3687.66,4.73024771,26,2021-12-09 18:13:00,17431.010113827102,ETHEUR
1639073640,3685.01,3690.97,3685.01,3690.97,3687.35,13.47516879,28,2021-12-09 18:14:00,49736.4437488263,ETHEUR
1639073700,3690.71,3693.96,3690.71,3693.96,3691.71,4.92203601,6,2021-12-09 18:15:00,18181.8041394996,ETHEUR
1639073760,3697.16,3703.74,3697.16,3703.74,3699.81,5.22445491,9,2021-12-09 18:16:00,19350.0226283634,ETHEUR
1639073820,3703.74,3703.74,3700.01,3700.01,3701.22,2.26796460,9,2021-12-09 18:17:00,8391.491699646,ETHEUR
1639073880,3700.63,3700.63,3693.71,3693.71,3698.65,2.74971335,19,2021-12-09 18:18:00,10156.6436980285,ETHEUR
1639073940,3695.16,3695.16,3693.59,3693.59,3693.65,3.48663739,16,2021-12-09 18:19:00,12878.208997330099,ETHEUR
1639074000,3693.59,3695.00,3693.59,3693.60,3693.71,5.32027698,8,2021-12-09 18:20:00,19650.975053328,ETHEUR
1639074060,3693.59,3693.59,3686.02,3686.02,3690.68,9.08553317,13,2021-12-09 18:21:00,33489.4569752834,ETHEUR
1639074120,3685.01,3685.01,3675.00,3678.22,3677.54,25.47174172,79,2021-12-09 18:22:00,93690.6698293384,ETHEUR
1639074180,3678.39,3678.97,3673.19,3673.90,3674.33,134.00920430,44,2021-12-09 18:23:00,492336.41567777,ETHEUR
1639074240,3674.42,3678.75,3670.00,3676.43,3672.96,6.93795425,42,2021-12-09 18:24:00,25506.903143327498,ETHEUR
1639074300,3674.55,3679.75,3668.58,3668.58,3674.96,9.76899176,41,2021-12-09 18:25:00,35838.3277909008,ETHEUR
1639074360,3668.06,3668.06,3655.50,3658.62,3659.16,20.82167591,106,2021-12-09 18:26:00,76178.5999178442,ETHEUR
1639074420,3657.56,3657.56,3647.00,3649.99,3651.02,70.52204788,149,2021-12-09 18:27:00,257404.7695415212,ETHEUR
1639074480,3649.07,3656.73,3647.71,3649.15,3653.65,53.98912056,53,2021-12-09 18:28:00,197014.39929152402,ETHEUR
1639074540,3651.07,3659.87,3651.07,3658.53,3655.29,6.86810129,23,2021-12-09 18:29:00,25127.154612503702,ETHEUR
1639074600,3656.10,3656.10,3650.93,3651.61,3654.71,7.97677402,31,2021-12-09 18:30:00,29128.0677791722,ETHEUR
1639074660,3652.69,3654.00,3642.01,3647.16,3644.93,46.16955453,84,2021-12-09 18:31:00,168387.75249963478,ETHEUR
1639074720,3645.19,3651.96,3644.21,3648.51,3647.40,23.90377274,40,2021-12-09 18:32:00,87213.15387961741,ETHEUR
1639074780,3650.02,3650.02,3642.31,3642.31,3647.19,22.55642702,31,2021-12-09 18:33:00,82157.4996992162,ETHEUR
1639074840,3642.40,3647.15,3641.87,3641.87,3643.04,18.77118123,40,2021-12-09 18:34:00,68362.2017861001,ETHEUR
1639074900,3641.89,3641.89,3637.20,3637.20,3640.47,20.21314688,66,2021-12-09 18:35:00,73519.257831936,ETHEUR
1639074960,3638.28,3639.80,3634.78,3637.86,3636.72,15.63405294,51,2021-12-09 18:36:00,56874.495828308405,ETHEUR
1639075020,3636.90,3647.02,3636.54,3645.15,3640.61,27.63292242,32,2021-12-09 18:37:00,100726.147159263,ETHEUR
1639075080,3644.75,3649.93,3644.75,3649.93,3648.23,4.92159868,17,2021-12-09 18:38:00,17963.490670092397,ETHEUR
1639075140,3649.25,3657.13,3649.25,3656.40,3655.14,73.20452471,40,2021-12-09 18:39:00,267665.024149644,ETHEUR
1639075200,3656.40,3656.93,3646.09,3651.30,3652.54,21.96792411,31,2021-12-09 18:40:00,80211.48130284299,ETHEUR
1639075260,3652.72,3652.72,3649.13,3649.13,3649.88,3.73919087,25,2021-12-09 18:41:00,13644.7935794431,ETHEUR
1639075320,3649.13,3650.91,3646.05,3646.05,3647.52,10.33154890,21,2021-12-09 18:42:00,37669.343866845,ETHEUR
